Smithy Test

fail 1: expected 37, got 38
fail 6: expected 37, got 38
fail 1: expected 466, got 467
fail 6: expected 466, got 467
fail 1: expected 359, got 360
fail 2: expected 359, got 360 
fail 1: expected 334, got 335
fail 6: expected 334, got 335
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 296, got 297
fail 6: expected 296, got 297
fail 1: expected 299, got 300
fail 2: expected 299, got 300 
fail 1: expected 153, got 154
fail 6: expected 153, got 154
fail 1: expected 371, got 372
fail 2: expected 371, got 372 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 250, got 251
fail 6: expected 250, got 251
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 329, got 330
fail 6: expected 329, got 330
fail 1: expected 99, got 100
fail 2: expected 99, got 100 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 41, got 42
fail 2: expected 41, got 42 
fail 1: expected 334, got 335
fail 6: expected 334, got 335
fail 1: expected 164, got 165
fail 6: expected 164, got 165
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 200, got 201
fail 6: expected 200, got 201
fail 1: expected 445, got 446
fail 2: expected 445, got 446 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 486, got 487
fail 6: expected 486, got 487
fail 1: expected 272, got 273
fail 6: expected 272, got 273
fail 1: expected 450, got 451
fail 6: expected 450, got 451
fail 1: expected 416, got 417
fail 6: expected 416, got 417
fail 1: expected 274, got 275
fail 6: expected 274, got 275
fail 1: expected 272, got 273
fail 2: expected 272, got 273 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 46, got 47
fail 6: expected 46, got 47
fail 1: expected 9, got 10
fail 6: expected 9, got 10
fail 1: expected 432, got 433
fail 2: expected 432, got 433 
fail 1: expected 331, got 332
fail 6: expected 331, got 332
fail 1: expected 19, got 20
fail 2: expected 19, got 20 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 148, got 149
fail 6: expected 148, got 149
fail 1: expected 451, got 452
fail 6: expected 451, got 452
fail 1: expected 342, got 343
fail 2: expected 342, got 343 
fail 1: expected 364, got 365
fail 2: expected 364, got 365 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 202, got 203
fail 2: expected 202, got 203 
fail 1: expected 289, got 290
fail 2: expected 289, got 290 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 174, got 175
fail 2: expected 174, got 175 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 155, got 156
fail 6: expected 155, got 156
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 143, got 144
fail 6: expected 143, got 144
fail 1: expected 489, got 490
fail 6: expected 489, got 490
fail 1: expected 339, got 340
fail 6: expected 339, got 340
fail 1: expected 160, got 161
fail 6: expected 160, got 161
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 139, got 140
fail 2: expected 139, got 140 
fail 1: expected 296, got 297
fail 6: expected 296, got 297
fail 1: expected 473, got 474
fail 6: expected 473, got 474
fail 1: expected 281, got 282
fail 2: expected 281, got 282 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 474, got 475
fail 2: expected 474, got 475 
fail 1: expected 94, got 95
fail 2: expected 94, got 95 
fail 1: expected 195, got 196
fail 6: expected 195, got 196
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 252, got 253
fail 6: expected 252, got 253
fail 1: expected 205, got 206
fail 6: expected 205, got 206
fail 1: expected 25, got 26
fail 6: expected 25, got 26
